time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,31.04,0.0,61.38,7.58,68.96,7.58,4.494263009660204,0.0,4.3949516493358605,1.83401199559872,4.494263009660204,1.83401199559872
1,40.52,2.4,29.72,27.36,57.08,29.76,5.58655528926368,1.2,6.749933333004111,7.646594013023053,5.476641306494337,7.951251473824734
2,37.88,9.54,18.42,34.16,52.58,43.7,5.290141775037792,3.0013996734856887,4.350126434944161,4.9289349762397965,5.063951026619431,5.811196090307054
3,31.76,17.38,18.08,32.78,50.86,50.16,4.962096331189067,3.63257484437692,3.7514797080618734,4.504619850775424,4.664804390325494,5.2435102746156605
4,26.64,21.58,17.22,34.56,51.78,56.14,5.237403937066531,4.604736691712133,3.7163961037542808,4.521769565114967,5.088378916708149,5.276400288075195
5,24.06,25.64,15.34,34.96,50.3,60.6,5.323194529603441,4.706421145626473,3.701945434497921,5.6069956304602195,5.7870545184921145,6.053098380168622
6,20.82,29.0,14.74,35.44,50.18,64.44,4.37579707024903,4.5431266766402185,3.6486161760316747,5.611274365061827,5.516121826065846,5.528688813814719
7,18.52,30.44,13.6,37.44,51.04,67.88,4.504397850989631,4.980602373207482,3.7416573867739413,4.181674305825359,4.919186924685827,4.835866003106372
8,17.52,33.98,13.28,35.22,48.5,69.2,4.085290687331808,4.67970084513957,3.821203998741758,5.686088286335344,5.57584074378026,5.1884487084291395
9,16.22,34.7,12.5,36.58,49.08,71.28,4.276868012927217,4.360045871318328,3.4014702703389896,3.9753741962235454,4.533607834826475,4.3314662644421
10,15.38,34.28,11.5,38.84,50.34,73.12,3.6926413310799626,5.314282642088206,3.0016662039607267,4.540308359572068,5.312664115112115,4.55912272262987
11,14.16,35.18,12.88,37.78,50.66,72.96,3.312763197090912,5.461465004923129,3.6912870384189844,5.883162414892181,5.383716188656308,5.05553162387498
12,13.88,35.7,11.72,38.7,50.42,74.4,3.7290213193276327,5.510898293381942,3.3766255344648455,4.583666654546336,5.727442710320201,4.2047592083257275
13,13.02,35.98,11.26,39.74,51.0,75.72,3.5013711599886124,4.641077461107496,2.6893121797217967,5.058893159575521,5.130302135352264,3.924487227651531
14,12.58,36.26,12.5,38.66,51.16,74.92,3.188040150311787,4.629514013371166,3.087069808086626,4.83160428843257,4.5622801316885395,4.043958456759911
15,12.34,37.14,11.12,39.4,50.52,76.54,3.4211693907200793,4.569507632119679,3.7128964434791336,4.5563142999578075,4.119417434540957,4.842354799062126
16,11.3,38.02,12.68,38.0,50.68,76.02,3.6728735344413916,4.447426221985026,3.6684601674271997,4.963869458396343,5.104664533541847,4.268442338839779
17,11.72,38.36,10.8,39.12,49.92,77.48,2.986904752415115,4.2178667593939005,2.8495613697550013,4.658926915073899,4.435493208201316,4.373739818507726
