time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,29.6,0.0,63.48,6.92,70.4,6.92,4.386342439892262,0.0,4.104826427511886,2.54432702300628,4.386342439892261,2.54432702300628
1,53.12,4.76,33.52,8.6,42.12,13.36,4.946271322925988,2.195996357009729,5.020916251044226,4.1036569057366385,4.773426442294884,5.563308368228387
2,39.62,7.6,42.84,9.94,52.78,17.54,5.023504752660239,3.704051835490427,6.42607189502265,3.8854086014214775,5.300150941246861,6.870836921365548
3,41.6,9.3,34.2,14.9,49.1,24.2,6.164414002968977,3.925557285278104,5.118593556827891,5.367494760127857,4.186884283091665,8.62322445492404
4,37.04,13.52,34.16,15.28,49.44,28.8,5.885439660722044,4.657209464904923,5.456592343212016,4.779288649998031,3.8738094945415167,8.804544281222055
5,34.26,14.48,31.24,20.02,51.26,34.5,6.608509665575136,5.052682455884201,6.32,5.342246718376081,5.925571702376067,8.98276126811795
6,32.82,18.38,28.7,20.1,48.8,38.48,6.147161946784874,5.905556705341165,5.689463946629771,4.904079934095692,4.608687448721165,9.34074943460106
7,30.28,20.28,27.46,21.98,49.44,42.26,6.346778710495585,5.702771256152573,5.488934322798917,5.120507787319535,5.162015110400201,9.296902710042739
8,28.36,21.74,26.34,23.56,49.9,45.3,6.166879275614207,5.421475813835196,5.3651095049402295,5.65388362101662,4.70425339453563,9.539916142189092
9,26.88,23.0,25.26,24.86,50.12,47.86,5.648504226784291,5.61426753904728,6.4461151091180495,5.095134934425192,5.655581314064895,8.609320530680687
10,25.54,24.46,24.76,25.24,50.0,49.7,6.255269778354887,5.223830012548265,6.091173942681328,5.46830869648011,5.359104402789705,8.74585616163449
11,24.44,24.98,24.3,26.28,50.58,51.26,5.727687142293999,6.001633111079017,5.842088667591412,5.355520516252365,5.902846770838627,8.325406896963054
12,24.82,25.54,23.02,26.62,49.64,52.16,6.282324410598358,4.825805632223495,4.474326765000518,6.415263049945808,5.823263689719022,8.249509076302664
13,23.36,26.26,23.3,27.08,50.38,53.34,3.8458289093510123,5.687917017678791,6.245798587850877,4.7152518490532405,4.577728694450993,8.196609054969013
14,23.16,26.52,22.84,27.48,50.32,54.0,5.735363981474933,5.356267357031387,4.383423319735386,5.048722610720458,5.159224747963592,7.504665215717488
15,23.02,27.56,21.62,27.8,49.42,55.36,4.273125319950259,5.227465925283492,4.6728577979647525,4.8908077042549944,5.134549639452325,6.60533118019074
16,21.94,27.82,22.08,28.16,50.24,55.98,5.197730273879166,4.864935765249116,4.024127234569007,4.640517212552928,4.558771764411989,6.445122186584208
17,22.24,27.18,21.58,29.0,50.58,56.18,4.388895077351473,4.320601809933426,4.779497881577101,4.6,4.72901681113527,5.985616091932392
18,21.3,27.98,22.7,28.02,50.72,56.0,4.960846701924985,4.545283269500373,4.281354925721529,3.9824113298352293,4.181100333644243,5.9262129560116215
19,22.5,27.44,20.74,29.32,50.06,56.76,3.8691084244306206,3.9403553139279204,4.21810383940462,4.575762231585029,4.713427627533916,5.065806944604186
20,21.84,28.68,21.74,27.74,49.48,56.42,3.859326366090331,4.134924424944185,3.598944289649397,4.330404138183872,4.369164679890196,4.3638973406806905
21,21.24,28.24,21.78,28.74,50.52,56.98,3.717848840391443,4.864401299235087,4.0014497372827265,4.803373814310104,5.080314950866727,5.213405796597844
22,21.32,28.62,20.44,29.62,50.06,58.24,4.588856066603092,4.564602940015703,4.148059787418692,4.404043596514458,4.981606166689615,4.74366946571955
23,21.06,29.3,21.26,28.38,49.64,57.68,3.911061237055743,4.378355855797928,4.376345507383986,4.664289870923548,4.761344347975685,5.500690865700417
24,21.36,27.84,20.88,29.92,50.8,57.76,4.8404958423698705,4.8098232815769855,4.169604297772152,4.58624029025955,5.560575509783138,5.562589325125486
25,21.6,29.86,20.52,28.02,48.54,57.88,4.034848200366403,4.275558443057467,3.694536506789451,4.558464653806147,4.355272666550282,5.3353162980277
26,20.62,28.66,21.68,29.04,50.72,57.7,4.019402940736348,3.9980495244556438,4.216349131654066,4.54735087715914,4.22393181763153,5.345091205957107
27,21.08,29.14,20.44,29.34,49.78,58.48,3.9183670068027063,4.86625112381184,4.167301285004481,4.343316705007822,5.650805252351208,4.733877902945956
28,21.04,29.72,20.48,28.76,49.24,58.48,3.627450895601483,4.490167034754943,3.7642529139259495,4.637068039181655,5.010229535660018,4.733877902945956
29,20.78,28.86,20.62,29.74,50.36,58.6,4.627267011962894,4.185737688866802,4.117717814518135,4.65536249931195,5.369394751738784,5.03189825016365
30,21.82,29.8,19.88,28.5,48.38,58.3,4.208039923764982,4.014971979976947,4.082352263095384,4.539823785126467,4.185164273956281,5.3376024580330075
31,21.18,27.74,21.1,29.98,51.08,57.72,3.4795976778932363,4.599173838854104,3.753664875824692,3.765580964472813,4.189701660023062,4.724574054875212
32,21.3,29.8,20.98,27.92,48.9,57.72,3.606937759374287,4.485532298401161,4.086514407169025,4.5336078348264754,4.295346318982906,4.943844657753721
33,20.74,28.42,20.86,29.98,50.84,58.4,4.542290171268234,4.219431241293073,4.2143089587736675,4.880532757804213,5.12,5.253570214625479
34,20.84,30.32,20.38,28.46,48.84,58.78,4.627569556473463,5.308257717933446,3.9844196566124905,4.119271780302922,4.649128950674524,5.529159068068126
35,20.08,29.18,20.68,30.06,50.74,59.24,4.213502106324381,4.250599957653037,4.333312820464269,4.2304136913545465,4.861316694065508,5.2480853651593735
36,20.5,30.36,20.48,28.66,49.14,59.02,3.9408120990476063,4.357797608884561,3.336105513918887,3.983013934196063,4.03985148241863,4.921341280586016
37,20.72,29.12,20.52,29.64,50.16,58.76,4.161922632630261,4.207802276723563,3.935682914056975,4.9305577777772776,4.46031389029965,5.791580095276245
38,20.26,30.04,20.36,29.34,49.7,59.38,3.65956281541935,5.067385913861307,3.3630938137375828,4.722753434173756,4.62709412050371,5.48776821667971
39,20.52,29.5,20.78,29.2,49.98,58.7,4.587984306860694,4.02119385257662,3.827740848072137,3.8157568056677826,4.5320635476568505,5.166236541235795
