time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,29.66,0.0,63.34,7.0,70.34,7.0,4.470391481738484,0.0,4.942104814752516,2.3916521486202797,4.470391481738484,2.3916521486202797
1,39.44,2.06,39.46,19.04,58.5,21.1,4.5876355565803175,1.4616429112474771,7.940302261249253,7.547078905112892,4.838388161361178,8.057915363169311
2,39.02,6.96,23.52,30.5,54.02,37.46,5.147776218912395,3.364282984530285,6.664052820919114,5.181698563212646,5.037816987545299,7.031955631259343
3,34.54,14.2,19.44,31.82,51.26,46.02,5.2998490544542864,4.512205669071391,3.925098724873045,5.113472401411784,5.283218715896589,6.370211927400846
4,30.48,19.46,17.7,32.36,50.06,51.82,5.284846260772398,4.37360263398494,3.9610604640676716,4.832225160316932,5.587163860135123,5.955468075642754
5,26.72,23.7,15.74,33.84,49.58,57.54,4.472314836860214,5.189412298131649,3.4281773583057222,6.188246924614434,5.340749011140666,5.550531506081197
6,23.26,26.18,15.92,34.64,50.56,60.82,3.82,5.156316514722501,2.9382988275531132,4.198856987324051,5.0245795844030585,4.869045080916791
7,21.5,28.38,14.84,35.28,50.12,63.66,4.02119385257662,5.542165641696394,3.8333275362275003,5.295431993709295,5.753746605473689,5.569955116515752
8,20.0,29.5,14.12,36.38,50.5,65.88,4.064480286580315,4.825971404805461,3.597999444135588,4.816181059719412,4.968903299521938,4.545943246456119
9,18.52,31.46,13.24,36.78,50.02,68.24,4.050876448375092,5.107680491181883,2.8323841547360766,6.123038461417665,5.658586395911969,4.688539218136071
10,17.44,33.5,12.94,36.12,49.06,69.62,4.025717327384028,4.648655719667784,2.9557401780264785,5.236945674723006,4.726140074098524,5.237900342694579
11,16.4,34.4,11.9,37.3,49.2,71.7,3.862641583165593,4.870318264754368,3.3600595232822887,4.846648326421054,4.870318264754368,4.928488612140643
12,15.28,35.2,13.2,36.32,49.52,71.52,3.6717298375561347,3.757658845611187,3.2863353450309964,4.337925771610205,5.099960784162953,3.853517873320429
13,14.76,36.24,12.5,36.5,49.0,72.74,3.9575750150818365,3.5752482431294195,3.093541659651604,4.21070065428546,4.634652090502587,3.626623774256161
14,14.24,35.8,11.84,38.12,49.96,73.92,3.972706885739244,4.266145801540309,2.859090764561349,4.663217773169081,4.9232509584623045,4.394724109656942
15,13.82,35.76,11.82,38.6,50.42,74.36,3.603831294608559,5.662366996230464,3.1603164398521866,5.102940328869229,5.079724401973004,5.054740349414597
16,14.04,37.12,11.9,36.94,48.84,74.06,3.5437832890852676,4.722880476997062,3.257299494980466,4.584364732435673,4.442341724811364,5.084918878408976
17,13.8,35.9,11.6,38.7,50.3,74.6,4.156921938165306,4.972926703662542,3.2310988842807022,5.189412298131649,5.940538696111658,4.280186911806539
18,13.52,36.46,12.5,37.52,50.02,73.98,3.1128122333349952,4.2718146027186155,3.8118237105091834,4.759159589675472,4.536474401999861,4.361146638213396
19,13.22,37.08,12.24,37.46,49.7,74.54,3.0873289426298585,4.616665463297075,2.8039971469315015,5.158333064081845,5.3,3.9558058597459
20,12.58,36.82,12.12,38.48,50.6,75.3,2.8781243892507495,4.1746377088317494,2.9775157430314287,4.956773143891095,4.37264222181509,4.016217125604641
21,12.88,36.76,11.14,39.22,50.36,75.98,3.3264996618066864,4.739451445051421,3.1938065063494374,4.821991289913327,4.484462063614766,4.188030563403281
22,12.44,38.46,11.54,37.56,49.1,76.02,3.188479261340741,4.678504034411,3.4421504906090323,5.23511222420303,5.348831648126533,4.4653779235357
23,12.1,38.92,11.24,37.74,48.98,76.66,3.424908757908742,4.723727341835048,3.0630703550522638,3.7030257898102734,4.207089255055091,3.91208384368229
24,11.74,38.32,12.22,37.72,49.94,76.04,2.931279584072458,4.941416800878064,2.9413602295536667,4.422849760052901,4.2304136913545465,4.251870176757517
25,12.24,38.06,11.18,38.52,49.7,76.58,2.9567549780122127,4.397317364030029,2.5352711886502397,4.158076478373143,4.172529209005013,3.7367900663537417
