time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,30.42,0.0,62.32,7.26,69.58,7.26,4.5698577658391075,0.0,5.255244999046191,2.086240638085645,4.5698577658391075,2.086240638085645
1,40.4,2.32,36.6,20.68,57.28,23.0,4.591296113299598,1.3332666649999168,6.241794613730895,6.074339470263413,4.400181814425399,6.764613810115105
2,39.4,7.9,30.32,22.38,52.7,30.28,5.571355310873647,3.144837038703278,4.487493732586153,3.2856658381521395,4.450842616853577,4.08431144747802
3,36.5,12.2,28.4,22.9,51.3,35.1,4.364630568559039,2.7422618401604173,4.686149805543992,4.090232267243511,4.378355855797928,5.30754180388624
4,34.32,15.44,27.8,22.44,50.24,37.88,4.818464485704963,3.1759093186046736,4.476605857119878,3.666933323637069,4.51025498170558,4.092138805074921
5,32.24,17.94,26.46,23.36,49.82,41.3,4.61978354471289,3.3906341589738047,4.557236004421979,4.362384668962608,5.05841872525397,5.068530358989675
6,31.16,19.76,26.84,22.24,49.08,42.0,3.921020275387517,4.388895077351474,4.588507382580963,3.987781338037481,4.934936676392109,4.381780460041329
7,29.6,20.64,26.34,23.42,49.76,44.06,4.27551166528639,3.814498656442285,3.3681448899950848,3.5332138344572352,4.159615366833814,4.522875191733683
8,28.36,21.02,26.78,23.84,50.62,44.86,4.52442261509687,4.207089255055092,4.433012519720647,3.4372081694305336,4.625537806569091,4.639008514758299
9,27.86,21.34,26.86,23.94,50.8,45.28,5.253608283836929,3.91208384368229,4.9031010595336495,4.173296059471458,6.257795138864806,4.707610859023927
10,27.38,22.18,26.1,24.34,50.44,46.52,4.223221519172301,4.4257880654184065,3.8587562763149474,5.494033126947817,5.765969129296479,5.766246612832303
11,27.06,23.3,25.82,23.82,49.64,47.12,4.863784534701347,4.215447781671599,4.594300817317038,3.891991777997482,5.283029433951698,4.434591300221476
12,27.32,23.14,25.3,24.24,49.54,47.38,4.640861988898183,3.6000555551268927,3.330165161069343,4.60677761564415,4.805039021693789,5.157092203945941
13,26.38,23.22,26.42,23.98,50.4,47.2,4.45371754829603,4.360229351765799,4.695061234957431,3.4437769962644214,5.126402247190518,4.595650117230422
14,26.54,23.86,25.18,24.42,49.6,48.28,4.0802450906777645,3.6111494015063954,3.771949098277971,4.0054462922376075,4.732863826479693,4.280373815451169
15,26.32,23.7,25.72,24.26,49.98,47.96,4.120388331213455,3.4539832078341086,3.475859605910458,3.767280186022802,4.192803358136415,4.233013111248299
16,25.72,23.78,26.0,24.5,50.5,48.28,3.857667689161419,4.34644682470636,3.8366652186501757,4.006245124802026,4.441846462902562,4.878688348316584
17,25.92,24.06,25.7,24.32,50.02,48.38,4.353573245048255,3.7810580529793505,3.5846896657869842,4.235280392134623,4.896896976657769,4.103120763516473
18,25.82,23.84,25.88,24.46,50.34,48.3,3.7983680706324394,3.6241412775994255,4.5150415280482195,4.437161254676237,4.9136951472389905,4.904079934095692
19,25.78,23.34,25.9,24.98,50.88,48.32,4.153504544357692,3.845048764320161,4.450842616853577,3.016554325716678,4.264457761544837,3.8649191453379723
