time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,29.44,0.0,63.76,6.8,70.56,6.8,4.18167430582536,0.0,4.456725255162135,2.5298221281347035,4.181674305825359,2.5298221281347035
1,35.62,1.14,54.8,8.44,63.24,9.58,4.694209198576476,0.9593747964169165,4.907137658554118,3.7850231174987563,4.5235384379929835,4.1138303319412675
2,39.9,2.52,47.68,9.9,57.58,12.42,5.5362442142665635,1.64,6.4759246444040715,4.640043103248073,5.709956216995013,5.272911908992981
3,41.6,4.22,43.24,10.94,54.18,15.16,5.344155686354955,2.4024154511657634,6.175953367699598,5.72157321022811,5.320488699358359,7.175959866108506
4,41.58,5.88,40.18,12.36,52.54,18.24,5.55730150342772,3.4446480226577574,6.901275244474749,6.408619196051518,5.181544171383662,8.862415020749141
5,41.74,7.4,37.6,13.26,50.86,20.66,6.289069883536039,4.242640687119285,7.6,6.973693426011786,5.929620561216375,10.12247005429011
6,41.5,8.74,35.58,14.18,49.76,22.92,6.87386354243376,4.861316694065509,7.6212597383897105,6.9099638204552125,5.605568659823908,10.725371788427664
7,39.74,9.94,34.62,15.7,50.32,25.64,6.358647654965638,5.56204998179628,7.9520814885160735,7.327346040688948,5.120312490463839,11.625420422505158
8,38.7,11.24,32.74,17.32,50.06,28.56,7.108445681019163,6.3923704523439495,8.192215817469654,6.810110131268069,5.251323642663819,11.829048989669458
9,37.46,12.52,31.36,18.66,50.02,31.18,7.684295673645048,6.48148131216931,7.604630168522332,7.674920195024832,5.120507787319535,12.616956843866907
10,37.1,14.0,29.62,19.28,48.9,33.28,7.6870020163910455,6.603029607687671,8.411634799490525,7.694257599014995,5.166236541235796,13.076758008007946
11,35.92,15.2,28.88,20.0,48.88,35.2,8.581002272462117,7.247068372797376,7.331139065656851,8.0,5.409768941461364,13.724430771438211
12,34.12,15.96,28.3,21.62,49.92,37.58,7.38279080023266,7.437634032405736,8.488227141164401,7.735347438867889,5.027285549876792,13.673463350592638
13,32.8,16.92,27.66,22.62,50.28,39.54,7.459222479588607,7.40226992212524,7.484944889576677,7.196916006179314,4.181100333644243,13.253241113025899
14,32.1,18.36,26.2,23.34,49.54,41.7,7.705193054038296,7.076044092570368,7.090839160494335,7.7501225796757565,4.327632147029135,13.191285001848758
15,31.4,19.66,24.68,24.26,48.94,43.92,7.861297602813418,7.229412147609238,6.622507078138913,7.282334790436375,4.50515260562836,12.865208898420576
16,30.2,20.64,23.68,25.48,49.16,46.12,7.188880302244571,6.9130601038903166,6.451170436440197,6.818328240852005,4.3237021173989305,12.049298734781205
17,28.66,22.3,23.54,25.5,49.04,47.8,7.05864009565582,6.438167441127949,5.783459172502215,6.168468205316454,4.166341320631328,11.237437430304118
18,27.66,22.82,23.1,26.42,49.52,49.24,6.464085395475528,6.0288970798977815,6.658077800686922,6.356382619068805,4.323147001895726,11.174184534005153
19,26.32,23.5,22.62,27.56,50.18,51.06,6.7362897799901695,6.413267497929585,5.969556097399538,7.01472736462366,5.395145966514715,10.957025143714876
20,25.24,24.58,21.66,28.52,50.18,53.1,7.047155454507869,6.003632233906404,5.274883884977943,6.4536501299652125,4.375797070249031,10.28639878674748
21,24.58,25.7,21.28,28.44,49.72,54.14,6.791435783396615,5.862593282839942,5.440735244431584,6.261501417391838,4.762520341163909,10.192173467911543
22,24.44,26.52,20.44,28.6,49.04,55.12,7.063030511048356,5.575804874634692,4.3779447232691275,6.244997998398399,4.54735087715914,9.700804090383436
23,24.08,26.34,19.82,29.76,49.58,56.1,6.212374747228309,5.62355759284103,4.885447778863264,6.041721608945582,4.895263016427208,9.213576938409968
24,23.04,26.52,20.12,30.32,50.44,56.84,5.660247344418793,6.1261407101045275,5.248390229394152,6.4542699044895855,4.80899157828333,9.150650250118842
25,22.34,27.68,20.02,29.96,49.98,57.64,5.687213729059248,6.02474895742553,4.496620953560574,5.306448906754874,4.282475919371877,8.48942872047348
26,21.94,28.14,19.02,30.9,49.92,59.04,5.416308706120803,6.112315436886418,5.140000000000001,5.1000000000000005,4.484818836920841,8.928516114114371
