time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,30.34,0.0,62.54,7.12,69.66,7.12,4.982409055868456,0.0,5.3636181817873645,2.223870499826822,4.982409055868456,2.223870499826822
1,39.62,1.98,36.78,21.62,58.4,23.6,3.7888784620254055,1.3926952286842946,6.917485092141507,6.222186111006323,3.7416573867739413,6.867313885355759
2,38.58,7.72,24.26,29.44,53.7,37.16,4.45461558386355,2.8777769197767915,4.877745380808637,5.265586387098781,4.205948168962618,6.350936938751636
3,34.24,13.96,23.48,28.32,51.8,42.28,4.74366946571955,3.7839661732103265,4.21540033686007,4.110669045301507,4.7833042972405595,4.716100083755645
4,30.78,18.32,22.32,28.58,50.9,46.9,4.666004714956898,4.614932285527058,4.451696305904076,4.796206834572503,5.876223276901585,4.495553358597805
5,27.92,21.34,21.66,29.08,50.74,50.42,4.232446101251615,4.297022224750531,3.8864379578220465,4.511496425799316,4.659656639710699,5.1772193308763725
6,26.14,23.64,21.6,28.62,50.22,52.26,4.156970050409313,4.680854622822632,4.014971979976947,5.051296863182761,5.415865581788381,4.82
7,25.48,25.06,19.96,29.5,49.46,54.56,4.614065452504981,5.190028901653632,3.9138727623672183,4.976946855251722,5.250561874694935,5.123124046907317
8,23.6,26.16,20.08,30.16,50.24,56.32,4.358898943540674,4.904528519643861,4.568763508871958,3.9967987189749747,4.615452307195905,6.097343683933193
9,21.6,27.94,19.96,30.5,50.46,58.44,4.6475800154489,5.54764815034263,4.573663739279485,4.674398357008098,6.181294362833726,4.948373470141477
10,21.44,28.56,19.26,30.74,50.0,59.3,3.5730099356145093,4.583273939009101,4.165621202173813,4.748936723099183,5.0517323761260355,4.708502946797421
11,20.94,28.88,18.7,31.48,50.18,60.36,3.976983781711965,4.250364690235416,3.5510561809129406,4.557367661271142,4.938380301272878,4.493372897946486
12,20.02,30.48,19.66,29.84,49.5,60.32,3.7389303283158406,4.976906669810074,4.760714232129461,4.540308359572068,4.863126566315131,5.569344665218701
13,20.58,29.9,18.1,31.42,49.52,61.32,4.074751526166963,4.9,2.9883105594967874,5.269117573180541,5.15844937941626,4.442701880612742
14,19.28,30.4,20.04,30.28,50.32,60.68,3.7949440048569887,3.725587202039432,3.560674093482862,4.386524820401681,5.104664533541847,4.797666099261181
15,19.22,30.44,18.64,31.7,50.34,62.14,3.7698275822642078,4.409807252023607,3.6919371608953475,3.9862262855989496,4.798374724841735,3.7842304369580875
16,19.3,31.62,18.6,30.48,49.08,62.1,3.471310991541956,4.059014658756482,3.57211421989835,4.754955309989779,4.706761094425762,4.459820624195551
17,19.04,30.7,18.6,31.66,50.26,62.36,3.571890255872932,4.759201613716317,3.5999999999999996,4.324858379184224,5.203114451941261,4.302371439101929
18,19.28,31.24,17.52,31.96,49.48,63.2,3.805469747613296,5.014219779786282,3.716127016128485,4.303301058489866,5.146804834069386,4.849742261192857
19,18.92,32.58,17.94,30.56,48.5,63.14,4.241886372829899,4.118689111841291,4.225683376685954,4.4143402678089965,4.780167361086848,4.9031010595336495
20,18.68,32.62,18.06,30.64,48.7,63.26,4.091161204352622,4.995558026887487,4.046776494940139,4.819792526655063,5.4671747731346585,4.983211815686746
21,18.62,32.0,17.78,31.6,49.38,63.6,3.5714982850338877,4.6475800154489,4.124512092357107,4.849742261192857,4.353802935365817,5.775811631277461
22,17.86,31.26,18.88,32.0,50.88,63.26,4.6087308448205135,5.206956884784048,4.402908129861444,5.639148871948674,5.951940859921241,5.705471058554237
23,17.9,31.88,18.42,31.8,50.22,63.68,4.341658669218482,5.16,3.990438572387752,4.409081537009721,5.762950633139242,5.159224747963592
24,18.48,32.46,17.62,31.44,49.06,63.9,4.050876448375091,4.382738869702369,3.526414609770099,4.62238033917591,4.961491711169132,5.281098370604358
25,18.4,32.08,18.4,31.12,49.52,63.2,3.773592452822642,4.681196428264895,3.4409301068170506,4.013178291578883,4.5397797303393475,4.48998886412873
26,18.8,31.42,18.06,31.72,49.78,63.14,4.228474902373195,4.377624926829617,3.79689346703328,3.9599999999999995,4.495731308697173,4.923454072092071
27,18.3,31.9,19.5,30.3,49.8,62.2,4.327817001676481,4.948737212663449,3.6891733491393435,5.474486277268397,4.476605857119878,6.0398675482166
28,17.96,32.04,18.66,31.34,50.0,63.38,4.298650951170611,4.156729483620507,3.642032399636225,3.5474497882281577,4.604345773288535,4.8286229921169035
29,17.68,31.6,18.88,31.84,50.72,63.44,3.6410987352720885,4.2895221179054435,4.042969205917849,4.772253136622155,4.543302763409016,5.363431737236898
30,17.0,32.44,18.88,31.68,50.56,64.12,3.81051177665153,4.665447459783467,3.7128964434791336,4.091161204352622,5.189065426452051,4.470525696156996
31,17.72,32.06,18.1,32.12,50.22,64.18,4.00019999500025,4.562499315068441,3.9509492530276824,4.35265436257004,4.817841840492484,4.672001712328453
32,18.78,31.44,17.94,31.84,49.78,63.28,3.7432071810146974,4.49070150421958,3.2274448097527553,3.9666610644218143,4.290874036836784,4.660643732361443
33,18.72,32.06,18.5,30.72,49.22,62.78,4.363668181702179,4.527294998119738,3.132091952673165,4.634824700029117,5.277461510991815,4.295532563024054
34,18.8,31.14,18.52,31.54,50.06,62.68,4.349712634186309,5.211564064654679,3.6509724731912185,5.196960650226245,5.675949259815489,5.554961746042902
35,18.32,31.62,18.76,31.3,50.06,62.92,4.100926724534347,4.4805803195568314,3.271452276894774,5.07247474118896,5.128001560062166,4.947079946796898
36,18.32,31.46,18.24,31.98,50.22,63.44,3.4376736319784635,5.382230021097204,3.420877080516048,4.615148968343275,4.956974883938792,4.8462769215140815
37,18.36,30.74,18.96,31.94,50.9,62.68,3.702755730533679,4.117329231431463,3.9291729409635305,4.619134117992245,4.341658669218482,4.973690782507493
38,18.24,31.52,18.28,31.96,50.24,63.48,4.470167782086037,4.011184363750936,4.171522503834781,4.707270971592776,5.112963915382154,5.33381664476761
39,18.3,31.14,19.34,31.22,50.56,62.36,3.753664875824692,5.095134934425191,3.2286839424136886,5.170261115262942,5.463185883712909,4.194091081509795
40,19.1,30.68,18.62,31.6,50.22,62.28,4.177319714841085,4.29157313813944,3.509358915813542,4.261455150532504,4.924591353604885,4.490167034754943
41,19.08,31.34,18.5,31.08,49.58,62.42,4.58624029025955,4.042820797413608,4.070626487409524,4.620995563728665,5.067898972947271,5.29184277922162
42,19.14,31.62,18.8,30.44,49.24,62.06,4.833259769555118,4.807868550615751,3.3105890714493698,5.18906542645205,5.046028141023393,5.190028901653632
43,19.44,31.46,18.14,30.96,49.1,62.42,4.0157689176545,4.428137305910918,3.7363618668431995,4.307946146367199,4.674398357008098,5.50305369772093
44,18.22,31.64,19.38,30.76,50.14,62.4,3.8847908566613985,5.320751826574887,3.9894360503710296,4.667161878486754,4.886757616252313,5.287721626560915
45,18.28,31.84,19.42,30.46,49.88,62.3,3.720430082665175,4.649128950674524,3.027143868401368,4.011034779205985,4.06762830160279,4.517742799230607
46,18.82,31.7,18.36,31.12,49.48,62.82,4.033311294705629,3.8223029707232783,3.7670147331806385,4.24094329129735,4.031079259950119,4.946473491286494
47,18.22,31.78,18.1,31.9,50.0,63.68,3.976380263505994,4.6702890702824815,4.1,3.6565010597564447,5.035871324805669,4.810155922628703
48,18.44,32.64,18.74,30.18,48.92,62.82,3.955553058675866,4.877540363748925,3.6595628154193505,4.659141551831195,4.975298985990691,5.38772679337028
49,19.04,31.54,18.14,31.28,49.42,62.82,4.377030957167198,4.05072832957235,3.4756869824539725,4.05482428719174,4.386752785375533,4.5417617727045085
50,18.78,30.46,18.38,32.38,50.76,62.84,4.300186042487,3.7640935163728337,3.5546589147202297,4.4805803195568314,4.558771764411989,5.100431354307202
51,18.28,31.1,18.28,32.34,50.62,63.44,3.8159664568756373,4.3,3.7365224474101586,4.514908636949367,4.8037069019664385,4.808991578283331
52,18.3,30.7,19.28,31.72,51.0,62.42,3.8535697735995385,4.405678154382138,4.3865248204016805,5.107014783608914,5.226853738148792,5.169487402054482
53,18.24,29.68,19.22,32.86,52.08,62.54,3.685430775363987,4.110669045301507,4.14386293209609,5.095134934425191,5.070857915579966,4.74219358525145
54,18.76,31.32,19.86,30.06,49.92,61.38,3.8964599317842343,4.110669045301507,3.747052174710141,4.406404429917889,5.226241479304224,4.166005280841588
