time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,29.44,0.0,63.7,6.86,70.56,6.86,3.4937658765292214,0.0,3.4307433596816885,2.3324665056544758,3.4937658765292214,2.3324665056544758
1,39.5,2.36,47.06,11.08,58.14,13.44,4.090232267243512,1.670449041425688,5.0573115387525815,4.890153371827923,4.2849037328742865,5.430138119790325
2,41.94,5.1,37.26,15.7,52.96,20.8,4.351597407849215,2.61725046566048,7.520132977547671,6.717886572427373,4.5561387160621,8.034923770640267
3,40.46,7.92,30.86,20.76,51.62,28.68,5.115505840090499,4.175356272223965,8.221946241614573,7.207107602915333,5.237900342694581,9.718929982256277
4,37.66,11.84,26.8,23.7,50.5,35.54,5.453842681999546,5.013421985031781,7.461903242471052,6.456779382943171,5.322593352868505,9.49149092608743
5,34.46,15.32,23.78,26.44,50.22,41.76,6.194223115129128,5.605140497793076,5.6896045556787165,5.295885195130273,5.05683695604278,8.925379543750507
6,31.64,18.14,20.72,29.5,50.22,47.64,5.656005657705799,5.400037036910025,4.00019999500025,5.06458290484024,4.7256322328340366,7.65704903993699
7,28.88,21.64,18.74,30.74,49.48,52.38,5.928372457934809,5.148825108701985,3.5878127041416197,5.365855011086304,4.879508171937004,7.52034573673312
8,25.42,24.48,18.42,31.68,50.1,56.16,5.578852928694213,5.072435312549585,4.591688142720496,4.429175995600085,5.408326913195984,6.576807736280573
9,23.5,26.5,17.28,32.72,50.0,59.22,4.972926703662543,5.426785420486054,4.06959457440173,5.134354876710413,4.6604720790924175,6.5246915635913405
10,22.72,27.36,15.52,34.4,49.92,61.76,4.103851849177794,5.260266152962225,4.040989977715856,4.7455242070818695,5.2224132352773465,5.877278281653847
11,19.58,30.08,16.92,33.42,50.34,63.5,4.377624926829616,4.753272556881207,3.3754407119663647,4.923779036471885,5.132679612054506,4.539823785126467
12,18.3,31.86,14.66,35.18,49.84,67.04,4.4328320518603,4.595693636438356,3.2286839424136886,4.443827179357901,3.9767323269237016,5.051574012127309
13,16.96,32.88,15.44,34.72,50.16,67.6,3.9696851260521906,5.217815634918505,3.60643868657156,5.488314859772533,5.8046877607671545,5.0517323761260355
14,15.9,33.34,14.82,35.94,50.76,69.28,3.4655446902326914,4.876925260858526,3.479597677893236,4.78919617472494,5.182894943947833,4.7076108590239265
15,16.02,33.5,14.22,36.26,50.48,69.76,3.4321421881967535,4.859012245302536,3.035061778613411,4.832432099885109,4.960806386062653,3.9777380507016797
16,15.92,33.3,14.34,36.44,50.78,69.74,4.009189444264264,4.360045871318328,2.99739887235583,4.62238033917591,5.220306504411403,3.978994847948411
17,14.68,33.82,14.62,36.88,51.5,70.7,3.402587250901878,4.684826570962899,3.6980535420677727,4.348057037344382,4.62709412050371,4.045985664828781
18,14.36,34.4,14.36,36.88,51.24,71.28,2.9035151110335207,4.363484845854286,3.4511447376196784,4.155189526363388,3.881030790911095,4.372825173729223
19,14.46,34.76,13.66,37.12,50.78,71.88,2.822835453936343,5.089440047785218,3.502056538664103,5.312777051599285,4.77195976512795,4.231500915750817
20,14.6,35.32,12.74,37.34,50.08,72.66,3.1999999999999997,5.504325571766263,3.2729802932495633,5.301358316507195,5.491229370550824,3.456067128977676
21,14.0,36.2,13.82,35.98,49.8,72.18,2.85657137141714,4.476605857119878,3.1603164398521866,3.712088361017286,4.358898943540674,3.9124928114949937
22,14.06,37.04,12.48,36.42,48.9,73.46,2.788619730260833,4.927311640235474,3.238765196799546,4.261877520530124,4.759201613716317,3.981004898263754
23,13.94,36.28,12.76,37.02,49.78,73.3,3.6244171945293493,5.173161509174056,3.5131752020074383,5.093093362584275,5.6259754709739,3.935733730830885
24,14.04,37.24,12.16,36.56,48.72,73.8,3.358332919768378,4.806495604908009,3.0090530071768424,5.064227483042207,4.919512170937277,4.4810713004816165
25,13.58,36.56,13.08,36.78,49.86,73.34,3.418128142712031,4.427911471563089,3.3337066457623408,4.383103923020762,4.833259769555118,4.188603585922163
26,13.28,36.96,13.16,36.6,49.76,73.56,3.784388986349051,4.711517802152508,3.0942527369301946,4.340506882842141,5.065806944604186,4.699617005671845
27,13.02,36.98,13.2,36.8,50.0,73.78,3.6904742242698294,5.526264561166069,3.1368774282716245,4.995998398718719,5.528109984434101,4.7928697040499655
28,13.22,36.78,13.16,36.84,50.0,73.62,3.3123405622006925,4.834418269037134,3.4777003896253054,5.065017275390084,5.4,4.955360733589432
29,13.04,36.86,12.12,37.98,50.1,74.84,3.5886487707771013,5.223064234718926,3.2841437240169618,4.5628499865763725,4.605431575867782,4.896365999391794
30,12.16,37.18,13.92,36.74,50.66,73.92,3.775499966891802,5.290330802511313,3.7408020530362203,3.5031985384788,4.785854155738555,5.1296783524895595
31,12.16,36.26,13.0,38.58,51.58,74.84,3.78079356749347,4.991232312766057,3.4467375879228173,4.289941724545917,4.331697126993068,4.614585571857997
32,12.26,37.38,13.22,37.14,50.36,74.52,3.5822339398760654,4.832763184762936,3.342394351359516,4.185737688866802,5.248847492545387,4.504397850989631
33,12.58,37.26,12.94,37.22,50.16,74.48,3.5782118439242803,4.672515382532197,3.79162234406329,4.351045851286791,5.045235376075134,4.821783902250287
34,12.84,37.6,12.2,37.36,49.56,74.96,3.759574444002938,4.6475800154489,3.0789608636681307,5.07054237730048,5.23511222420303,4.471957065983528
35,12.62,38.46,12.88,36.04,48.92,74.5,3.052146785461014,4.96471550040886,3.5700980378695486,4.595476036277417,4.7321876547744814,4.553020975132884
36,12.8,37.08,13.08,37.04,50.12,74.12,3.1874754901018454,4.156152066515372,3.497656358191868,4.2753245490839635,3.6146369112263543,5.030467175123996
37,12.28,36.98,13.34,37.4,50.74,74.38,3.4002352859765455,4.892811052963316,3.6365368140581222,4.422668877499197,5.054938179641765,4.039257357485408
38,12.48,38.06,12.86,36.6,49.46,74.66,3.534062817777862,5.182316084532089,3.38827389683892,4.931531202375181,5.46336892402481,4.69727580625196
39,13.28,36.9,12.44,37.38,49.82,74.28,3.2064934118129726,4.109744517606903,2.8011426240018555,4.151578013237859,4.2458921324028,3.9600000000000004
40,12.76,37.28,13.6,36.36,49.96,73.64,2.8813885541523208,5.276514000739503,3.9242833740697165,4.88982617277956,5.462453661130683,4.417057844312207
41,12.8,37.28,13.14,36.78,49.92,74.06,3.3645207682521447,5.325561003312233,3.6932912151629744,4.42849861691296,5.585123096226259,4.58
42,13.16,37.3,12.68,36.86,49.54,74.16,3.6625674055230713,5.448853090330111,2.915064321760328,4.604389210307921,5.123319236588718,4.566661800484026
43,13.02,38.4,12.52,36.06,48.58,74.46,3.2832301168209335,5.509990925582365,3.545363168985654,4.7219063946673066,4.7585291845275055,4.964715500408861
44,12.38,37.2,13.08,37.34,50.42,74.54,3.83087457377555,4.516635916254486,3.242468195680568,5.221532342138656,5.29939619202037,4.834087297515427
45,12.76,36.88,12.64,37.72,50.36,74.6,3.5131752020074374,4.5150415280482195,2.8408449447303523,4.886880395507956,5.109833656783751,4.454211490264017
46,12.98,36.62,13.36,37.04,50.4,73.66,3.283230116820934,5.160968901282007,3.0774015012669373,5.272418799754057,4.894895300208167,4.207659682056048
47,13.26,36.7,12.54,37.5,50.04,74.2,3.5822339398760654,4.72122865364515,3.1445826432135635,4.401136216933078,4.28933561288925,4.049691346263318
48,12.38,36.82,13.38,37.42,50.8,74.24,3.0125736505519662,4.7778237723884285,3.474996402875836,4.534710575108405,5.264978632435273,3.860362677262332
49,12.7,35.76,11.74,39.8,51.54,75.56,2.5632011235952596,4.777279560586757,3.439825576973344,4.127953488110059,4.459641241176246,4.432425972309069
50,12.28,35.96,13.68,38.08,51.76,74.04,3.256009827994995,4.664590014138435,3.2890120097074744,4.564383857652641,4.593734863920642,4.228285704632553
51,11.78,35.48,14.28,38.46,52.74,73.94,3.3183730953586275,4.220142177699705,3.1751535395945814,4.9242664428318665,4.385476028893557,3.9618682461687187
52,12.26,36.52,12.78,38.44,51.22,74.96,2.9853642993778835,4.262581377522311,3.041644292155149,4.682563400531808,4.553196679257333,4.009788024322483
53,12.6,36.78,12.38,38.24,50.62,75.02,2.7640549922170505,5.11581860507192,3.2489382881181355,4.465691435824916,4.677135875725656,3.947100201413691
