time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,29.56,0.0,62.54,7.9,70.44,7.9,3.990789395595814,0.0,3.9709444720368476,2.4351591323771844,3.990789395595814,2.4351591323771844
1,38.98,2.58,36.12,22.32,58.44,24.9,4.806204323580095,1.6503332996701001,7.695817045642392,6.540458699510302,5.208301066566717,7.3979726952726725
2,37.8,8.82,30.56,22.82,53.38,31.64,4.749736834815167,3.468083043988422,3.914894634597463,4.416740879879643,4.836899833571086,4.778116783838587
3,35.3,13.0,28.46,23.24,51.7,36.24,4.5265881191025095,3.504283093587046,4.587853528612264,2.963511430718633,4.763402145525822,4.4746396502958765
4,33.32,16.68,27.54,22.46,50.0,39.14,4.805996254680189,3.93669912490147,4.05072832957235,3.986025589481332,4.931531202375181,4.812525324608692
5,31.5,18.5,26.68,23.32,50.0,41.82,4.8425200051213,3.170173496829472,4.374654272053964,3.5745768980398225,4.874423042781577,4.389487441604088
6,29.8,19.64,26.72,23.84,50.56,43.48,4.123105625617661,3.2909573075322633,3.8264343715788462,3.859326366090331,4.720847381561916,4.148445491988536
7,29.06,20.18,26.86,23.9,50.76,44.08,4.785018286276449,3.272246934447338,4.36811172018299,2.9342801502242417,4.519114957599553,4.024127234569007
8,29.18,21.52,26.2,23.1,49.3,44.62,4.718855793516051,4.733877902945956,4.219004621945797,4.243819034784589,5.220153254455275,5.42914357887135
9,28.42,22.28,26.3,23.0,49.3,45.28,3.7581378367484075,3.8002105204843586,3.9912404086950213,3.714835124201342,4.196427051671457,4.582750265942931
10,27.9,22.82,25.24,24.04,49.28,46.86,3.5679125549822546,3.2229799875270713,3.7818513984555238,3.857252908482927,3.677172827050695,3.903895490404424
11,26.84,23.22,26.4,23.54,49.94,46.76,4.780627573865171,3.869315184887372,4.449719092257398,4.369027351711133,5.7145778496753366,4.692803000339989
12,26.66,23.36,25.08,24.9,49.98,48.26,4.38912291921746,4.184542985799046,4.194472553253865,4.437341546466758,5.319736835596288,4.02894527140789
13,25.88,23.12,26.72,24.28,51.0,47.4,4.042969205917849,3.917346040369679,4.907300683675293,3.6988646906855083,4.774934554525329,4.947726750741192
14,25.88,23.38,26.1,24.64,50.74,48.02,4.510609714883344,3.9288166157254016,4.1,3.973713628333073,5.062845049969434,4.202332685545017
15,25.46,23.6,26.1,24.84,50.94,48.44,4.153119309627403,4.449719092257398,3.7429934544425802,4.522654088032822,5.777231170725298,4.682563400531808
16,25.62,24.04,26.16,24.18,50.34,48.22,3.9743678742662967,4.494263009660204,4.374288513575665,3.734648577845043,4.9663266102824934,4.635903363962627
17,26.24,23.86,25.94,23.96,49.9,47.82,3.9423850649067753,4.626056636056242,4.144442061363629,3.752119401085205,5.539855593785816,4.29739455949765
18,26.52,24.12,25.0,24.36,49.36,48.48,4.196379391809086,4.003198721022978,4.368065933568311,3.729664864300813,5.339513086415277,4.369164679890196
19,25.54,24.5,26.28,23.68,49.96,48.18,4.992834866085598,4.215447781671599,4.059753687109601,3.596887543418615,4.440540507640933,5.160193794810423
20,26.16,24.98,24.64,24.22,48.86,49.2,4.272516822670216,3.9824113298352293,3.917958652155482,4.433012519720647,5.50276294237722,4.8083261120685235
21,25.66,24.64,25.04,24.66,49.7,49.3,4.259624396587098,3.8613987103121064,3.5097578264034115,3.7234929837452357,4.414748010928823,3.7322915213043046
22,25.6,24.68,25.42,24.3,49.72,48.98,4.180908992073374,3.9316154440636737,4.539118857223283,3.6728735344413916,5.253722489816149,4.847638600390916
23,25.58,25.02,24.84,24.56,49.4,49.58,3.7899340363652767,4.514377033434403,3.6625674055230713,4.609381737283211,5.436910887627274,4.303905203417009
24,25.42,25.14,25.24,24.2,49.44,49.34,3.8004736546909514,4.3035334319603,4.567537629839518,3.867815921162743,5.326011640993662,4.563375943312144
25,24.98,25.02,25.26,24.74,50.0,49.76,4.518805151807278,3.4899283660270166,4.019004851950294,3.9233149249072525,4.894895300208167,4.149987951789741
26,25.86,24.04,26.0,24.1,50.1,48.14,4.152156066431029,4.034649922855761,3.939543120718442,4.04103947023535,4.459820624195552,4.820829804089748
27,26.06,24.0,25.2,24.74,49.94,48.74,4.544931242604227,4.127953488110059,3.8,4.136713671503021,4.884301383002486,5.37330438371027
28,25.5,24.88,25.58,24.04,49.62,48.92,4.904079934095692,4.179186523714873,3.3292041090927422,4.2706439795421955,4.440225219513082,5.465674706749387
29,24.78,24.88,25.52,24.82,50.34,49.7,4.635903363962627,4.35265436257004,3.612423009560204,3.723922662999327,4.240801810978674,5.068530358989675
30,24.98,24.68,26.08,24.26,50.34,48.94,4.7686056662299094,4.469630857240897,4.625321610439646,4.151192599723602,4.764913430483286,5.6618371576724105
31,25.08,24.94,25.34,24.64,49.98,49.58,4.146516610361039,4.683631070013948,4.320231475279999,4.389806373862063,5.0378169875453,5.204190619106875
32,25.58,24.54,25.4,24.48,49.88,49.02,4.395861690271886,4.432651576652511,4.33589667773576,4.7465355787142265,5.634323384400296,4.896896976657769
33,25.62,24.66,25.68,24.04,49.72,48.7,4.385840854385849,4.145407097017132,4.401999545661039,3.7733804472912613,4.503509742412023,5.2697248505021586
34,26.6,24.42,24.98,24.0,48.98,48.42,4.6946778377222005,4.7627303093918725,4.061969965423181,3.704051835490427,4.061969965423181,6.242082985670729
35,26.26,24.48,25.62,23.64,49.26,48.12,4.865429066382533,4.695700160785397,3.836091761154835,3.648342089223542,4.5686321804233705,5.077952343218672
36,26.08,23.96,25.5,24.46,49.96,48.42,4.723727341835047,4.108332995267058,3.817066936798463,4.486468544412187,4.983813800695207,5.269117573180543
37,26.28,24.16,25.26,24.3,49.56,48.46,4.703360500748375,3.607547643483035,4.088080234046294,3.4132096331752027,4.459417002254892,4.570382916124206
38,25.96,23.54,26.82,23.68,50.5,47.22,3.924079509897831,4.318379325626687,4.589945533445904,3.7010268845281304,5.096076922496363,5.170261115262942
39,25.82,23.3,25.84,25.04,50.88,48.34,3.729289476562526,4.075536774462966,3.3308257234505683,3.4173674078155543,4.35265436257004,4.479330307088326
40,26.02,24.46,25.48,24.04,49.52,48.5,4.268442338839779,5.367345712733623,4.08039213801811,3.7839661732103265,5.076376660571987,5.721013896155121
41,25.94,23.96,25.0,25.1,50.1,49.06,4.692163680009469,4.866045622474167,4.377213725647858,4.119465984809196,5.044799302251775,5.471416635570718
42,25.6,24.48,26.46,23.46,49.92,47.94,5.535341001239219,4.687173988663105,3.9810048982637536,4.566004818219096,5.754441762673422,5.088850557837202
43,26.78,24.06,25.06,24.1,49.16,48.16,4.5794759525517765,4.374517116208371,4.9291378556498096,4.177319714841085,5.251133211031691,5.661660533801015
44,26.64,24.08,24.98,24.3,49.28,48.38,4.255631562999786,4.995357845039733,4.44292696316291,3.8948684188300895,4.829244247291702,5.0592094244061485
45,25.62,24.84,26.04,23.5,49.54,48.34,3.944058823090751,4.851226649003322,3.7997894678521336,3.945883931389772,5.020796749520936,4.756511326592212
46,25.62,25.04,25.04,24.3,49.34,49.34,3.923722722109706,4.079019490024533,4.166341320631328,3.853569773599539,5.006435857973215,4.946150017943249
47,25.38,25.02,25.32,24.28,49.6,49.3,3.735719475549523,4.54088097179391,4.178229290022269,3.7631901360414943,4.824935232725927,4.253234063627348
48,24.7,24.26,26.08,24.96,51.04,49.22,3.689173349139344,4.590468385687892,3.5033698063436005,4.024723592993685,4.471957065983528,4.5355925742950065
49,24.86,24.48,26.2,24.46,50.66,48.94,4.044799129746742,3.9660559753992377,3.9899874686520005,3.1061873736141545,3.7288604157302534,5.3156749336279026
50,25.12,24.54,25.74,24.6,50.34,49.14,4.264457761544837,3.595608432518758,3.5372870960667018,4.223742416388576,4.479330307088326,4.5475707800978755
51,25.54,25.36,24.12,24.98,49.1,50.34,4.631241734135674,3.8974863694437727,3.734380805434818,3.781481191279417,4.863126566315131,4.688752499332844
52,25.44,25.12,25.54,23.9,49.44,49.02,4.758823383988946,4.46156923066313,4.186693205860682,4.114608122288197,5.745119668031294,4.8887217143134665
53,25.24,23.94,25.44,25.38,50.82,49.32,3.916937579283081,4.571258032533276,3.8113514663436643,4.413116812412742,5.729537503149796,4.941416800878064
54,25.34,24.78,25.54,24.34,49.88,49.12,4.2502235235337915,3.8693151848873724,4.40095444193643,3.564323217666995,4.7186438729787605,4.24094329129735
55,25.74,24.44,25.5,24.32,49.82,48.76,3.7299329752691266,3.894406244859414,3.950949253027682,3.946846842734083,4.897713752354255,4.4567252551621355
56,24.78,24.48,26.16,24.58,50.74,49.06,4.451022354470936,4.605388148679762,4.842974292725494,3.5161911210854275,5.509301226108444,4.4962651167385586
57,25.18,24.66,25.88,24.28,50.16,48.94,3.787822593522564,3.9980495244556438,4.174398160214236,4.53007726203428,4.487137171961651,5.471416635570718
58,25.2,23.58,25.8,25.42,51.22,49.0,4.538722287164087,3.8004736546909514,4.2047592083257275,3.868281272089712,4.351045851286791,4.485532298401161
59,24.98,24.7,26.34,23.98,50.32,48.68,3.8703488214888333,3.748332962798263,4.231359119715555,3.992442861206657,4.1397584470594415,5.163099844085915
60,25.34,24.44,24.98,25.24,50.22,49.68,4.179042952638798,4.109306510836104,4.370308913566637,3.9423850649067753,5.162518765099067,4.221089906647334
61,25.14,25.06,25.76,24.04,49.8,49.1,4.431749090370528,4.041831268125873,3.744649516309904,4.677435194633913,5.314132102234569,4.767598976424087
62,25.2,24.64,25.12,25.04,50.16,49.68,4.113392760240627,3.1607594024221455,4.2456566041073085,3.6384612132053844,3.68976964050603,4.451696305904076
63,24.96,23.92,26.32,24.8,51.12,48.72,4.26595827452637,4.39017083950044,4.347136988869801,3.872983346207417,5.117186727099178,4.923575936247962
64,25.22,24.02,26.02,24.74,50.76,48.76,4.486825158171421,4.580349331655829,3.6850508816025864,4.93886626666485,4.94594783636059,5.95167203397499
65,25.62,23.46,25.64,25.28,50.92,48.74,4.761890380930666,4.248340852615289,4.092725253422223,3.013569312293978,4.616665463297075,3.968929326657254
66,24.86,23.76,26.54,24.84,51.38,48.6,4.204806773206112,4.226393261399132,4.090036674652197,4.725928480203652,5.214940076357542,5.196152422706632
67,25.2,23.24,26.0,25.56,51.56,48.8,4.39089968002003,3.7446495163099045,4.28485705712571,4.285603808099857,4.928123375078997,4.113392760240627
68,24.38,23.88,27.34,24.4,51.74,48.28,4.132263302356228,4.145551832989186,4.815018172343693,4.358898943540674,4.706633616503414,5.227006791654282
69,25.46,24.34,25.38,24.82,50.2,49.16,4.687045978012164,4.008041915948485,3.5320815392626486,4.06295458995052,5.0517323761260355,4.7216946110480285
70,25.72,24.4,26.1,23.78,49.88,48.18,3.600222215363935,4.142463035441596,3.52845575287547,3.915558708537008,4.366417295678461,4.1698441217868085
71,25.84,24.32,25.94,23.9,49.84,48.22,4.346768914952807,3.5577520992896625,4.012031904160285,3.6728735344413916,4.28653706387802,4.821991289913329
72,25.92,24.16,25.22,24.7,49.92,48.86,4.222984726470131,4.016764867402621,4.244007540049853,4.075536774462967,5.226241479304224,4.400045454310671
73,25.86,25.1,24.98,24.06,49.04,49.16,4.270878129846367,4.177319714841085,4.120631019637647,4.21620682604637,4.947565057682415,4.708970163422146
74,25.84,25.74,25.34,23.08,48.42,48.82,3.9565641660410362,4.2086102219141175,3.444473835000057,3.9132595109448083,4.214688600596728,4.877253325387149
75,26.42,24.88,24.08,24.62,48.7,49.5,3.9551991100322623,4.255067567031104,3.457397865447366,3.27957314295626,3.9610604640676716,4.553020975132884
76,25.42,25.2,25.16,24.22,49.38,49.42,4.578602406848622,3.893584466786357,4.332943572215083,3.8847908566613985,4.3949516493358605,5.52843558341779
77,25.5,25.26,24.78,24.46,49.24,49.72,4.725462940284264,4.227576137694033,3.8067834191085783,4.652784112765174,4.697062912076015,4.804331379078675
78,24.56,24.96,25.52,24.96,50.48,49.92,4.266895827179286,3.5097578264034115,4.561754048608934,4.436034264971361,4.858971084499268,5.32480985576011
79,25.12,24.82,26.26,23.8,50.06,48.62,5.074012219141771,4.6073419669045625,4.23230433688316,4.427188724235731,5.1357959461022205,5.110342454278382
80,25.54,24.2,25.0,25.26,50.26,49.46,4.600912952882287,4.322036556994862,4.4,4.3442375625649206,5.086491914866277,5.92692162931146
81,25.72,24.72,25.42,24.14,49.56,48.86,4.50794853564235,4.422849760052901,3.693724407694759,4.578252941898252,5.303432850522387,4.400045454310671
82,25.22,25.0,25.52,24.26,49.78,49.26,4.332620454182434,3.9749213828703582,3.7161270161284854,3.8616576751441865,4.2156375555780405,5.302112786427689
83,25.34,24.8,26.12,23.74,49.86,48.54,5.221532342138656,4.354308211415448,4.1358916813669095,3.25459674921487,5.145910998064386,4.521990712064765
84,25.66,23.76,25.28,25.3,50.58,49.06,4.470391481738485,4.658583475693013,4.431884475028653,3.5341194094144583,5.5392779312831015,5.300603739198017
85,25.64,24.82,25.22,24.32,49.54,49.14,4.01875602643405,4.777823772388429,3.7163961037542808,4.337925771610206,5.1389103903454085,4.9477671731802415
86,25.72,24.26,24.78,25.24,50.02,49.5,4.46336196157112,4.279299008015214,3.6893901935143703,4.072149309639812,4.679700845139569,4.87134478352744
87,25.98,24.28,25.96,23.78,49.74,48.06,4.868223495280389,4.368249077147502,4.741139103633219,4.332620454182434,5.9692880647527815,5.159108450110349
88,25.36,23.84,25.52,25.28,50.8,49.12,4.740295349448175,4.177846335134886,3.9458332453361478,3.9397461847179955,5.4808758424178885,4.658926915073899
89,25.2,24.28,26.14,24.38,50.52,48.66,4.467661580737736,4.118446308985951,3.7895118419131504,3.964290604887588,4.410170064748071,4.558991116464255
90,25.32,24.54,25.7,24.44,50.14,48.98,4.460672595024207,4.29516006686596,4.486646854834912,4.364218143035473,5.03193799643835,5.482663586250756
91,24.86,25.08,25.5,24.56,50.06,49.64,4.6087308448205135,4.869661179178692,4.387482193696061,4.119029011793921,5.6370559692094595,4.506706114225777
92,25.18,25.3,25.26,24.26,49.52,49.56,3.793098996862592,4.464302857109943,4.5598684191542205,4.761554368060917,5.064543414761098,5.437499425287326
93,25.36,24.74,25.28,24.62,49.9,49.36,3.793468070249175,4.942914120233124,4.08431144747802,4.8451625359733805,4.746577714522328,4.999039907822302
94,25.22,24.6,25.44,24.74,50.18,49.34,4.531180861541503,4.604345773288535,4.626705091098849,3.856475074468912,4.840206607160483,5.41335385874598
95,25.06,24.4,26.24,24.3,50.54,48.7,3.987028969044494,5.377731863899501,4.658583475693013,4.060788100849391,4.96471550040886,5.478138369920935
96,25.34,24.4,24.96,25.3,50.26,49.7,4.798374724841735,4.935585071701226,4.0692013958515245,4.350861983561419,5.358395282171706,5.146843692983108
97,25.36,24.9,25.8,23.94,49.74,48.84,4.37154434954056,4.622769732530488,3.939543120718442,4.679358930451905,4.983211815686746,5.3827873820168675
98,25.94,24.72,24.62,24.72,49.34,49.44,4.415472794616676,4.791826374150048,4.449224651554471,4.534490048506005,4.240801810978674,6.1519427825687725
99,25.2,24.3,26.26,24.24,50.5,48.54,5.0990195135927845,4.355456348076514,3.9487213120198796,4.169220550654523,5.250714237130031,4.952615470637712
100,25.98,24.46,25.28,24.28,49.56,48.74,5.201884273991492,3.721343843291023,3.8886501514021545,4.228664091648803,5.095723697376066,5.03908721893162
