time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,29.98,0.0,62.88,7.14,70.02,7.14,3.563649814445858,0.0,4.259765251748035,2.297912095794789,3.563649814445858,2.297912095794789
1,35.36,1.26,48.52,14.86,63.38,16.12,4.117086348377939,1.091970695577496,6.576442807475787,4.866251123811841,4.376711093960852,5.202460956124515
2,37.8,4.04,32.9,25.26,58.16,29.3,4.3954521951671826,2.0587374771932434,7.009279563550024,6.907416304234167,4.134537459015216,8.129575634681062
3,37.68,8.46,21.82,32.04,53.86,40.5,5.017728569781351,3.281524036175874,5.691010455094947,6.164284224465968,4.829120002650586,7.555792479945436
4,34.52,13.76,17.74,33.98,51.72,47.74,5.3112710343193745,4.111252850409471,3.8771639119335672,4.8103638116051055,4.911374553014665,6.045858086326539
5,31.2,17.46,16.02,35.32,51.34,52.78,5.2421369688324635,4.2718146027186155,4.09140562643207,5.416419481539442,5.368836000475335,5.710656704793241
6,27.9,21.26,16.44,34.4,50.84,55.66,5.25452186216786,4.043810084561341,4.495152945117663,4.8373546489791295,5.4308746993463215,5.175364721447176
7,25.42,24.7,14.02,35.86,49.88,60.56,4.578602406848622,4.557411546042337,3.5636498144458586,5.047811406936674,4.9583868344452515,5.710201397499041
8,22.72,26.3,14.84,36.14,50.98,62.44,4.6948482403587875,4.21070065428546,3.678912882904405,4.762394355783653,5.049712863124001,5.499672717535108
9,21.68,28.72,12.88,36.72,49.6,65.44,4.360917334690031,4.980120480470327,3.3801775101316793,4.74147656326592,4.656178690729126,5.561150960008189
10,19.76,29.64,13.68,36.92,50.6,66.56,4.292132337195581,4.663732410848633,3.088300503513219,4.160961427362671,4.1085277168348275,5.204459626128346
11,18.58,30.78,12.88,37.76,50.64,68.54,4.186119921836927,4.423980108454377,3.0373672810511407,4.692803000339989,4.453133728061622,5.359888058532566
12,17.64,31.9,12.74,37.72,50.46,69.62,3.9332429368143536,5.115662224971465,3.1862831010442245,5.956643350075612,5.084132177668082,4.865757906020397
13,16.58,33.14,12.34,37.94,50.28,71.08,3.5557840204376867,4.219052026225796,3.265639294227089,4.985619319603132,4.113587242298381,4.959193482815528
14,15.84,33.7,12.72,37.74,50.46,71.44,3.4777003896253054,4.504442251822083,2.4660900226877365,4.906363215254248,4.51313638171948,4.01078545923364
15,15.3,34.52,12.24,37.94,50.18,72.46,3.5227829907617076,3.884533434017527,3.0037310132566795,4.374517116208371,4.14579304838049,4.248340852615289
16,14.8,34.64,11.9,38.66,50.56,73.3,2.959729717389748,4.18931975385026,3.1384709652950433,4.264317061382749,4.445941969931681,4.119465984809197
17,13.68,36.58,12.12,37.62,49.74,74.2,3.437673631978464,4.83359079774033,3.33250656413457,4.711220648621756,4.498044019348855,4.317406628984581
18,13.64,36.38,11.04,38.94,49.98,75.32,3.260429419570373,5.226432817897882,3.4173674078155543,4.814187366524075,4.9172756684977506,4.36091733469003
19,13.14,36.56,11.86,38.44,50.3,75.0,3.594495792180038,5.158139199362499,3.212537937519182,4.6611586542403805,5.31883445878888,3.9749213828703582
20,12.78,37.3,11.3,38.62,49.92,75.92,3.6676422944447573,4.7,3.3000000000000003,4.516148801800047,4.6683615969631145,4.782635256843239
21,12.22,37.78,11.36,38.64,50.0,76.42,3.8015260093809693,4.369393550597153,2.9445542956447586,4.058374058659453,4.190465367951393,4.737467677990004
22,12.3,38.06,11.64,38.0,49.64,76.06,3.8948684188300895,5.147465395706901,2.9103951621729993,4.983974317750845,5.0070350508060155,5.009630724913763
23,12.34,37.94,11.1,38.62,49.72,76.56,3.603387295309789,4.244573005615524,3.2264531609803355,4.873971686417557,4.516813035758731,4.870975261690416
24,12.44,38.72,11.02,37.82,48.84,76.54,3.6175129578206078,5.079527537084527,3.5127766794944417,5.476093498106109,5.717901713041245,4.704083332595204
25,11.92,38.4,11.36,38.32,49.68,76.72,3.3277019097268914,4.927473997901968,3.1670806746908102,5.135912771844942,4.818464485704963,4.200190471871484
26,11.82,38.26,11.34,38.58,49.92,76.84,3.191801998871484,4.385476028893557,3.6584696254034963,4.99635867407455,4.664075471087491,4.687685996309907
27,11.6,37.82,11.62,38.96,50.58,76.78,3.4698703145794942,4.650548354764199,2.7776968877111123,4.408900089591507,4.373053852858435,4.401317984422394
28,11.6,38.3,11.0,39.1,50.1,77.4,3.3105890714493693,4.73392015141785,3.3226495451672298,4.5661800227323495,4.596737973824482,4.345112196480086
29,11.7,39.1,10.96,38.24,49.2,77.34,2.7147743920996454,5.092150822589606,2.884163656937657,4.705571166181636,4.354308211415448,3.782115809966691
30,11.22,40.12,11.18,37.48,48.66,77.6,2.6705055701121463,4.131053134492462,3.30266559009537,4.41017006474807,4.438963843060676,4.233202097703344
31,11.2,38.74,11.3,38.76,50.06,77.5,2.6,4.30260386277891,3.163858403911275,4.231122782430215,4.834914683838796,3.7960505792204615
32,11.24,37.82,11.32,39.62,50.94,77.44,2.936392344357273,4.731553656041533,2.693993318477238,4.547042995178295,3.98200954293181,3.806100366516889
33,11.56,37.72,10.62,40.1,50.72,77.82,3.0604574821421715,4.845781670690498,2.8836782067352797,4.867237409455183,4.825101035211594,3.723922662999327
34,11.3,37.86,11.24,39.6,50.84,77.46,2.8792360097775935,4.890848597125043,3.234563339927045,4.525483399593904,5.401333168764911,3.699783777465921
35,11.4,38.48,11.32,38.8,50.12,77.28,3.168595903550972,5.020916251044225,3.183959798741184,4.3954521951671826,5.1015291825098865,3.784388986349051
36,11.74,39.16,11.66,37.44,49.1,76.6,3.357439500571827,5.166662365589608,3.2839610229112037,4.24810546008453,4.980963762164908,4.48998886412873
37,11.02,38.54,11.28,39.16,50.44,77.7,2.6794775610181922,5.258174588200738,3.0596731851621013,4.945139027368189,5.064227483042207,4.210700654285461
38,11.06,38.72,11.46,38.76,50.22,77.48,2.5954575704488025,4.97208205885623,3.034534560686367,3.937308725512898,4.952938521726269,3.442324795832026
39,11.42,39.12,10.92,38.54,49.46,77.66,2.735616932247642,4.810987424635405,3.230108357315587,5.43032227404599,4.850608209286749,4.632968810600823
40,11.16,38.9,11.44,38.5,49.94,77.4,3.245674044016127,4.401136216933077,3.020993214159873,4.1436698710201325,4.5974340669551745,4.09878030638384
41,11.34,38.98,10.68,39.0,49.68,77.98,2.9503220163229638,4.44292696316291,3.0426304409178586,4.48998886412873,4.163844377495393,4.3840164233269014
42,11.0,38.2,11.12,39.68,50.8,77.88,2.898275349237888,4.024922359499621,2.9975990392312313,4.536253961144592,3.984971769034255,4.092138805074921
43,11.14,37.9,11.26,39.7,50.96,77.6,2.8914356295791888,4.080441152620633,3.7191934609535977,3.601388621073821,4.108332995267059,4.214261501141095
44,11.12,37.92,11.6,39.36,50.96,77.28,3.108954808291687,4.44,3.249615361854384,4.934612446788501,4.959677408864411,3.914281543272022
45,11.32,37.52,10.98,40.18,51.16,77.7,3.139681512510465,4.788486190854058,3.1653751752359467,4.641939249925617,5.300415078085866,3.905124837953327
46,11.1,37.54,11.3,40.06,51.36,77.6,2.7073972741361767,4.355272666550282,3.2326459750489227,4.249282292340673,4.2650205157771515,4.079215610874227
47,11.24,38.18,11.48,39.1,50.58,77.28,3.030247514642987,4.672001712328453,2.685069831494146,4.725462940284264,4.817011521680222,3.6389009329741313
48,11.58,37.96,10.86,39.6,50.46,77.56,3.181760518958019,4.677435194633913,2.898344354972335,4.903060268852505,5.123319236588718,4.2197630265217505
49,11.32,37.86,11.74,39.08,50.82,76.94,3.3967042850386604,3.9648959633261502,3.04506157573209,4.7742643412362495,4.519690254873668,4.139613508529511
50,11.28,37.9,10.96,39.86,50.82,77.76,3.7365224474101586,4.286023798347368,3.52113618026909,4.252105360877127,4.550560405049032,4.447740999653644
51,11.4,37.9,11.2,39.5,50.7,77.4,2.6981475126464085,4.57493169347915,2.9597297173897488,4.3737855457258075,4.491102314577124,4.004996878900156
52,12.0,37.42,11.26,39.32,50.58,76.74,2.7712812921102037,5.0441649457566315,3.3633911458526495,3.9417762493576425,4.521459941213679,4.014025410980852
53,11.8,39.0,10.94,38.26,49.2,77.26,2.7640549922170505,4.458699361921591,3.7224185686190636,4.612201209834627,4.349712634186309,4.426330308506134
54,11.32,38.3,11.62,38.76,50.38,77.06,2.8805555019822133,4.948737212663449,3.19931242613159,4.57628670430514,4.82447924650941,3.585582240027413
55,11.74,38.12,11.4,38.74,50.14,76.86,2.520396794157618,4.384700673934311,2.95296461204668,4.3442375625649206,4.551966607961882,3.682444840048524
56,11.1,38.32,10.92,39.66,50.58,77.98,2.9068883707497264,4.216349131654066,2.9382988275531132,4.357109133358952,4.733244130614858,3.7012970699472367
57,11.44,38.98,11.46,38.12,49.58,77.1,2.654505603685929,3.7496133133964626,2.8440112517358296,4.5547338012226355,4.108965806623365,4.036087214122113
58,11.42,39.32,11.04,38.22,49.26,77.54,3.2068052638100744,3.4839058540666685,3.0394736386420593,4.090427850482148,4.348838925506439,3.732077169620157
59,11.34,38.7,11.02,38.94,49.96,77.64,3.1023217112349903,3.678314831549904,3.171687248137811,4.785018286276449,4.014772720839874,3.948468057360981
60,11.18,38.72,11.4,38.7,50.1,77.42,3.2291794623402397,4.6692183500024935,3.370459909270544,5.1312766442669995,4.450842616853577,4.870687836435425
61,11.6,38.58,11.0,38.82,49.82,77.4,3.255764119219941,4.613415220853202,3.0066592756745814,4.416740879879643,4.637628704413496,3.9597979746446663
62,11.88,38.74,10.92,38.46,49.38,77.2,3.4446480226577574,5.0470189220964885,3.654257790577999,4.423618428390948,5.324997652581643,4.0743097574926725
63,11.4,39.12,11.02,38.46,49.48,77.58,2.8565713714171403,5.479562026293706,2.6114363863590473,4.521990712064765,4.784307682413413,4.045194680111206
64,11.48,39.04,10.92,38.56,49.48,77.6,2.994929047573582,4.677435194633913,2.5755776051208397,4.578908166801339,4.64861269627832,3.411744421846396
65,11.56,39.14,10.8,38.5,49.3,77.64,2.7939935576160515,4.261502082599515,3.249615361854384,4.792702786528704,4.177319714841085,4.293064173757481
66,11.1,38.52,10.92,39.46,50.38,77.98,3.207802986469088,4.648612696278321,3.41666504065002,4.996839000808411,5.1570922039459415,3.3435908840646156
67,11.0,39.26,11.7,38.04,49.74,77.3,2.80713376952364,4.156007699704128,3.336165463522455,5.031739261925244,4.279299008015214,4.441846462902562
68,11.08,38.94,10.86,39.12,49.98,78.06,2.8414081016284864,4.566880773569636,3.0332161149512573,4.02313310741765,4.57598076919036,4.076321871491505
69,11.16,39.66,10.44,38.74,49.18,78.4,3.015692291995322,4.483793037150577,3.08,4.417284233553462,4.714615572875481,4.084115571332427
70,10.84,38.5,11.5,39.16,50.66,77.66,2.9823480682173904,4.513313638558703,3.27566787083184,5.273935911631844,4.701531665319292,4.370858039332781
71,10.24,38.26,11.8,39.7,51.5,77.96,3.0825963083089554,4.255866539260835,3.3882148692194827,4.648655719667784,4.570557952810575,3.9997999949997496
72,10.72,38.32,11.66,39.3,50.96,77.62,2.6003076741032007,5.025693981929262,3.5474497882281577,5.70350769263968,5.222872772718095,4.330773602949016
73,10.8,38.56,11.52,39.12,50.64,77.68,3.1685959035509716,5.257984404693494,3.238765196799546,5.256006088276535,5.599142791535146,4.046924758381356
74,11.64,39.06,10.92,38.38,49.3,77.44,2.4556872765073323,5.504216565506848,2.965400478856102,5.702245171859939,5.6859475903318,3.4243831561319182
75,11.5,38.78,11.08,38.64,49.72,77.42,2.5553864678361276,5.231787457456582,2.6820887382784337,4.744512619858861,5.793237436874135,2.9126620126612703
76,11.7,38.64,11.0,38.66,49.66,77.3,2.8653097563788807,4.881639069001312,2.821347195933177,4.710031847026089,4.823318359801683,4.39203825119955
77,11.7,38.24,10.52,39.54,50.06,77.78,2.9748949561287037,5.263306945257896,3.2572380938457663,5.273367045825656,5.005636822623072,4.59691200698904
78,11.18,38.1,11.32,39.4,50.72,77.5,2.957634189686074,5.020956084253277,3.1650592411517358,4.27551166528639,4.882786089928577,3.7643060449437424
79,11.12,38.32,11.36,39.2,50.56,77.52,2.7249954128401757,4.3425338225510695,3.077401501266937,4.595650117230423,3.899538434225261,3.996198193283211
80,11.02,38.96,10.74,39.28,50.02,78.24,3.367432256185713,4.812317529008243,2.74816302282088,5.043966692990745,5.167165567310573,3.7339523296367885
81,10.86,39.16,10.6,39.38,49.98,78.54,3.3106494831075066,4.813979642665723,2.979932885150268,5.294865437383654,5.136107475511002,3.639835161102766
82,10.96,39.82,10.82,38.4,49.22,78.22,3.1746495869623157,4.179425797881809,3.2167685648799793,4.995998398718719,4.290874036836784,4.364813856282992
83,10.56,39.52,11.24,38.68,49.92,78.2,3.0473595127585456,3.7268753668455292,2.811120772930256,4.4919483523299775,4.1368587116313265,4.1085277168348275
84,10.66,39.02,11.12,39.2,50.32,78.22,3.1216021527414415,4.096291005287588,3.253551905226041,4.418144406874904,4.374654272053964,4.553196679257333
85,11.1,38.82,10.92,39.16,50.08,77.98,3.5679125549822546,4.362063731767338,3.217701042670061,4.636205344891445,5.199384578967015,4.523228935174517
86,10.9,38.68,11.18,39.24,50.42,77.92,3.3481338085566414,3.7759237280432454,2.4140422531513406,4.823111029200966,4.652268263976187,3.4225136961011566
87,11.54,39.18,10.5,38.78,49.28,77.96,3.169921134665656,4.053097580863308,3.0016662039607267,5.013142726873034,5.203998462720756,4.08391968579207
88,10.86,38.56,11.38,39.2,50.58,77.76,3.117755602993923,3.9606060142357005,3.6270649291127945,3.9698866482558417,4.578602406848622,4.086856983061678
89,11.38,39.74,11.02,37.86,48.88,77.6,2.9181500989496754,4.274622790375778,2.9765080211549906,4.737129932775752,4.434591300221475,4.13763217311544
90,11.44,38.48,10.56,39.52,50.08,78.0,2.994394763554064,4.64,3.785023117498756,5.115623129199413,5.019322663467651,4.467661580737736
91,11.8,38.42,10.64,39.14,49.78,77.56,2.884441020371191,4.699319099614326,2.9309384162755787,4.753987799731926,4.948898867424954,3.990789395595814
92,11.74,38.84,10.72,38.7,49.42,77.54,3.161075766254267,5.108267808171377,3.27438543852125,4.850773134253962,5.067898972947271,4.210510657865623
93,11.56,38.34,10.92,39.18,50.1,77.52,3.0994193004496826,5.069950690095516,2.9450976214719944,5.13688621637661,5.3563046963368315,3.905073622865515
94,11.4,38.28,10.8,39.52,50.32,77.8,2.8705400188814645,4.980120480470327,3.1559467676119,4.895875815418524,5.017728569781351,3.8314488121336034
95,11.26,38.58,10.86,39.3,50.16,77.88,2.9584455377782435,4.887085020746007,3.2680881261067607,4.661544808322667,4.8676893902548874,4.3157386389817445
96,11.64,39.42,9.96,38.98,48.94,78.4,3.1417192745374303,4.741687463340451,3.0328864139627782,4.868223495280389,4.843180773004452,3.7682887362833544
97,11.82,39.38,10.3,38.5,48.8,77.88,3.2661292074870523,5.4401838204237185,3.395585369269929,4.504442251822083,4.91121166312347,4.145551832989186
98,11.46,38.4,10.92,39.22,50.14,77.62,3.347894860953671,4.898979485566356,2.9586483400363757,4.7845166945053075,4.707483404113073,4.381278352262043
99,11.38,38.86,10.76,39.0,49.76,77.86,3.19931242613159,4.660514993002383,3.3320264104595565,4.47213595499958,4.619783544712892,4.617401866851098
100,11.04,38.66,11.68,38.62,50.3,77.28,3.310347413792093,4.806703652192425,3.9971990193133995,4.599521714265517,4.716990566028302,4.490167034754943
