time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,30.04,0.0,63.52,6.44,69.96,6.44,5.055531623874981,0.0,4.984937311541641,2.624195114697076,5.055531623874981,2.624195114697076
1,39.38,1.82,47.44,11.36,58.8,13.18,4.655706176295922,1.3067516979135705,5.980501651199505,5.248847492545387,4.538722287164087,5.708554983531296
2,41.52,4.78,35.34,18.36,53.7,23.14,5.024898008915206,2.851596044323249,7.630491465167889,7.260192834904593,4.7,9.046568410176313
3,39.44,9.12,28.86,22.58,51.44,31.7,5.154260373710277,4.1116420077628355,7.520664864225769,6.823752633265658,3.9454277334656633,9.863569333664158
4,37.16,13.6,22.16,27.08,49.24,40.68,6.643372637448542,5.332916650389353,6.549381650201796,5.750965136392326,5.829442511938856,9.31330231443176
5,33.82,17.86,18.9,29.42,48.32,47.28,6.339369053778144,5.50276294237722,5.6964901474504455,6.177669463478926,5.22853708029311,9.37878456944182
6,30.08,21.58,17.78,30.56,48.34,52.14,6.24128191960594,6.046784269345154,4.952938521726269,5.2693832656203705,5.186945151049893,8.551046719554279
7,26.86,24.18,17.22,31.74,48.96,55.92,5.578566124014306,5.08995088384947,3.6512463625452614,5.023186239828263,4.372459262245905,7.265920450982105
8,24.2,26.56,15.72,33.52,49.24,60.08,5.535341001239219,5.024579584403057,4.23811278755061,4.682905081250313,5.504761575218313,6.212374747228309
9,21.44,28.66,15.2,34.7,49.9,63.36,4.9725647305992915,5.2100287907073985,3.778888725538237,4.3737855457258075,5.514526271584894,5.376839220211071
10,19.34,30.78,14.54,35.34,49.88,66.12,4.116357613230415,5.4047756660198205,2.6922852746319434,4.876925260858525,4.4883850102236105,5.050306921366265
11,17.64,32.62,13.9,35.84,49.74,68.46,4.572789083261986,4.33538925588003,2.8861739379323623,5.220574681009745,5.271849770241941,4.867073042394166
12,16.54,33.96,13.7,35.8,49.5,69.76,3.3835484332280514,5.06343756750293,3.9912404086950213,4.5563142999578075,5.3,5.394664030317366
13,15.16,33.42,13.48,37.94,51.42,71.36,3.7221499163789735,4.2383487350618045,2.9882436312991616,5.31943606033572,5.1423341003867105,4.52442261509687
14,14.98,34.24,12.84,37.94,50.78,72.18,3.849623358200124,4.216918306061904,3.3487908265521753,4.743037001753201,4.776149076400359,4.794538559653056
15,14.04,35.24,12.96,37.76,50.72,73.0,3.594217578277642,4.434230485664903,3.452303578771716,5.364923112216987,5.138248728895868,4.94368283772331
16,13.86,36.62,12.36,37.16,49.52,73.78,3.638736044287906,4.485041805825226,3.0512948071269674,4.3375569160530905,4.396544097356468,4.318749819102746
17,13.7,36.66,12.96,36.68,49.64,73.34,3.511409973215888,5.372559911252735,3.1493491391079522,5.74261264582594,6.078684068118691,4.835741928597927
18,13.26,35.52,12.94,38.28,51.22,73.8,3.2607361132112485,5.262090839200707,3.668296607418762,4.604519518907483,5.682569841189812,3.815756805667783
19,13.02,36.66,13.08,37.24,50.32,73.9,3.1208332220738746,5.255891931917931,3.2177010426700616,5.301169682249381,5.630062166619477,4.104875150354759
20,13.2,37.66,11.9,37.24,49.14,74.9,3.0983866769659336,5.183087882720107,3.4999999999999996,5.101215541417556,5.861774475361535,4.196427051671457
21,12.96,37.68,11.92,37.44,49.36,75.12,3.1238437861071096,5.04951482817904,3.4341811251010044,5.004637849035632,5.256462688919232,4.1116420077628355
22,12.78,38.14,12.06,37.02,49.08,75.16,2.8864511081949753,5.004038369157454,3.0093853192969493,4.7853526515817,5.098391903335796,3.6351616195156993
23,12.76,38.0,12.32,36.92,49.24,74.92,2.7170572316386714,4.326661530556787,2.915064321760328,4.0784310708898825,4.212172835960082,3.7621270579287986
24,12.42,37.58,12.06,37.94,50.0,75.52,3.194307436675437,4.673713726791576,3.0160238725845656,5.258935253451976,5.362835071116769,4.090183369972549
25,12.48,36.92,11.48,39.12,50.6,76.04,2.879166546068497,4.44,3.5902089075707,4.212552670293868,4.720169488482378,3.8985125368529983
26,12.0,37.98,13.24,36.78,50.02,74.76,2.870540018881465,4.9577817620383415,2.8744390757154687,5.174127945847493,5.259239488747399,4.032666611561139
27,12.38,38.06,11.58,37.98,49.56,76.04,3.474996402875836,5.39410789658494,3.066528982416439,5.120507787319536,5.3072026529990355,4.422487987547282
28,12.42,37.44,12.52,37.62,50.14,75.06,3.4239742989689628,4.2244999704107,2.9136918162358905,5.149330053511815,4.899020310225301,4.21620682604637
29,11.78,37.52,12.56,38.14,50.7,75.66,3.6839652549935917,4.29995348812054,2.2817537115122657,4.123154132457335,4.708502946797421,3.5474497882281573
30,11.74,37.36,12.54,38.36,50.9,75.72,3.248445782216474,4.594605532578395,3.317890896337612,5.19522858014929,5.288667128870941,4.128147284194206
31,11.58,37.12,12.0,39.3,51.3,76.42,3.3650557201924607,4.722880476997063,3.682390527904394,4.450842616853578,5.146843692983109,4.224168557242952
32,11.5,38.12,12.78,37.6,50.38,75.72,3.263433774416144,5.074012219141771,2.9140350032214783,5.264978632435273,4.659999999999999,4.587112381444344
33,12.24,37.82,11.92,38.02,49.94,75.84,3.0434191298603612,5.3129652737430915,3.223910668737582,5.112690094265445,5.209260984055224,4.187409700518925
34,12.02,37.5,11.76,38.72,50.48,76.22,3.2832301168209335,4.3,3.426718546948378,3.93466644075454,4.327770788754876,4.657424180810677
35,12.12,37.66,12.22,38.0,50.22,75.66,3.674996598637881,4.434455998203162,3.4772978014544567,4.166533331199932,4.952938521726269,3.8398437468209563
36,11.86,38.64,12.08,37.42,49.5,76.06,3.633235472688221,3.788192180974983,3.1549326458737594,4.2383487350618045,4.7,4.558113644919354
37,12.08,39.62,11.58,36.72,48.3,76.34,2.8484381685407882,4.59517137874095,2.7574626017409556,4.766717948442094,4.657252408878007,4.0674807928249646
38,11.58,38.06,12.64,37.72,50.36,75.78,3.0795454209996644,5.166855910512697,3.374966666502056,4.41832547465666,4.865223530322116,4.495731308697174
39,11.38,38.74,12.16,37.72,49.88,76.46,3.3875654975217824,4.577379162796108,4.1151427678757395,5.149912620617946,5.187060824783146,5.146688255567846
40,11.78,38.68,12.3,37.24,49.54,75.92,3.2759120867324873,5.22853708029311,2.9206163733020465,4.827255949294589,4.423618428390949,4.39017083950044
41,12.14,39.22,11.0,37.64,48.64,76.86,3.3166850920761224,5.375090696909216,3.059411708155671,4.8404958423698705,5.264066868876192,4.573882377149634
42,11.54,39.2,11.88,37.38,49.26,76.58,3.335925658644089,4.6,3.050508154390019,4.51171807629865,4.934815092787166,4.9156484821435305
43,11.84,38.8,11.02,38.34,49.36,77.14,3.981758405528894,5.0990195135927845,3.4379645140693356,4.465915359699509,4.9709556425299155,5.23453913921751
44,11.72,37.94,12.08,38.26,50.34,76.2,4.044947465666272,4.981606166689615,3.8410415254198957,4.857200839990045,4.905547879697027,5.019960159204453
45,11.5,37.32,13.34,37.84,51.18,75.16,3.905124837953327,4.751589207833523,3.558707630587261,4.5622801316885395,4.607341966904562,5.251133211031691
46,12.34,37.24,12.0,38.42,50.42,75.66,3.7342201327720352,5.630488433519778,3.6110940170535577,5.671296148148146,6.109304379387231,4.785854155738555
47,12.32,38.0,12.04,37.64,49.68,75.64,3.4434866051721476,4.494441010848846,3.2184468303826304,4.6851253985352415,4.347136988869801,4.283736686585673
48,12.14,37.54,12.36,37.96,50.32,75.5,2.9732810159821756,4.775814066732498,2.590443977390748,4.857818440411292,5.308257717933446,3.9912404086950213
49,11.72,37.76,12.2,38.32,50.52,76.08,3.35284953435134,4.042573437799245,3.1368774282716245,4.442701880612742,4.153263776838644,4.1368587116313265
50,11.58,37.2,11.32,39.9,51.22,77.1,3.0730440934031518,4.27551166528639,2.5015195382007316,3.889730067755345,4.570732982793898,3.312099032335839
51,11.68,37.74,11.98,38.6,50.58,76.34,2.9761720380381242,4.869537965762254,4.057043258334819,4.503332099679081,4.5742321760050615,4.856377250585049
52,11.88,37.1,12.22,38.8,51.02,75.9,3.01091348264941,4.627094120503711,3.4484199280250074,4.503332099679081,4.6582829454639185,4.360045871318328
53,11.9,38.18,12.02,37.9,49.92,76.08,3.5227829907617076,5.384013372940301,3.088624289226516,5.076416058598822,4.881966816765554,4.408355702526737
54,11.0,38.22,12.7,38.08,50.78,76.3,3.515679166249389,5.397369729785056,3.093541659651604,5.768327313875314,5.456335766794416,4.601086828130937
55,11.48,38.0,11.92,38.6,50.52,76.6,3.7322379345374004,5.0990195135927845,3.186471402664709,4.9396356140913875,5.040793588315236,4.431703961232068
56,11.4,38.06,12.2,38.34,50.54,76.4,3.2434549480453705,4.949383800030061,3.3466401061363023,4.868716463299131,4.414566796413891,5.340411969127475
57,11.7,37.84,11.92,38.54,50.46,76.38,3.2939338184001206,4.973369079406836,3.254781098630137,4.224736678184808,5.246751375851537,3.882730997635556
58,11.82,38.98,11.58,37.62,49.2,76.6,3.2043095980257585,4.876433122683013,3.4298104903915614,4.706973549957552,5.377731863899501,4.166533331199932
59,12.0,38.96,11.1,37.94,49.04,76.9,2.979932885150268,4.507593593038307,3.2756678708318394,5.073105557742713,4.7873165761206975,4.124318125460256
60,11.56,38.34,12.62,37.48,50.1,75.82,3.6064386865715594,4.735440845370154,3.7570733290687843,4.257886799810442,5.1312766442669995,4.52411317276657
61,11.8,38.22,12.62,37.36,49.98,75.58,3.6110940170535577,5.32274365341785,3.577093792452191,4.710668742333725,5.2134057965978435,4.779497881577101
62,12.68,38.16,12.76,36.4,49.16,74.56,3.6956190279843506,4.592864030210343,3.1531571480026175,4.0,4.428814739859865,4.9362333818408555
63,11.96,38.46,12.08,37.5,49.58,75.96,3.538135101999357,4.9242664428318665,3.8410415254198957,4.830113870293329,4.9278392830935545,4.95160580014201
64,12.02,38.08,12.38,37.52,49.9,75.6,3.234130485926627,5.3547735713099955,3.446099244072927,5.70347262639175,5.561474624593733,4.586937976471886
65,12.2,37.12,12.0,38.68,50.68,75.8,3.4234485537247377,5.327813810560576,3.0199337741082997,5.025693981929262,5.013741118167152,4.458699361921591
66,11.86,38.02,13.0,37.12,50.12,75.14,3.7256408844653826,4.734934001651976,3.1874754901018454,4.380136984159286,4.994557037415831,4.436259685816419
67,12.0,36.9,11.98,39.12,51.1,76.02,3.676955262170047,4.1388404173149755,2.71654191942624,4.646030563825426,4.428317965096905,4.374882855574535
68,11.26,38.74,12.54,37.46,50.0,76.2,3.3752629527193876,4.136713671503021,3.060784213236863,4.414566796413891,4.979959839195493,3.736308338453881
69,11.6,38.24,12.02,38.14,50.16,76.38,3.22490309931942,4.785645202060011,3.546773181357951,5.091208108101652,5.1705318875334285,4.431207510374571
70,11.24,38.4,12.52,37.84,50.36,76.24,3.023640190234281,5.2573757712379665,3.545363168985654,5.254940532489401,5.761111003964427,4.461210598032781
71,11.78,38.04,11.68,38.5,50.18,76.54,3.1704258389055564,4.074113400483595,2.9761720380381242,4.272001872658765,4.416740879879643,3.7747052865091333
72,12.46,38.72,12.42,36.4,48.82,75.12,3.3239133562714898,4.285043757069466,2.905787328763067,4.595650117230422,3.983415619791638,3.922448215082004
73,12.16,38.46,12.66,36.72,49.38,75.18,3.3006665993402002,4.661373188235415,3.356247905027279,4.6734997592810466,4.36756224912708,4.389487441604088
74,12.2,38.32,12.34,37.14,49.48,75.46,3.0919249667480613,4.85979423432721,3.7395721680427565,4.90717841534216,5.539819491644109,4.490924181056723
75,12.9,38.74,12.02,36.34,48.36,75.08,2.9274562336608896,4.857200839990045,3.2832301168209335,4.585237180343019,5.003039076401462,3.9741162539613764
76,12.9,37.9,11.84,37.36,49.2,75.26,3.287856444554719,5.166236541235796,3.1135831448670195,4.559649109306548,5.242136968832463,3.6376365953734298
77,12.86,37.56,11.88,37.7,49.58,75.26,3.475686982453972,4.708120644163657,4.101901997854166,5.123475382979799,4.854235264179106,4.807535751297124
