time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,30.88,0.0,62.06,7.06,69.12,7.06,4.483926850429208,0.0,5.069161666390213,2.7085789632203823,4.483926850429208,2.7085789632203823
1,47.26,3.58,27.72,21.44,49.16,25.02,4.3396313207460375,2.136258411335108,6.443725630409786,6.62166142293609,4.244337404118575,8.100592570917266
2,37.26,12.06,29.18,21.5,50.68,33.56,6.60245408920047,4.456052064327794,4.594300817317038,3.7376463182061515,5.597999642729535,5.772902216389951
3,32.52,17.2,23.96,26.32,50.28,43.52,4.224878696483486,3.9597979746446663,5.4734267145911435,5.053474052570173,4.181100333644244,6.24256357596781
4,27.16,22.34,21.82,28.68,50.5,51.02,3.8541406305426893,4.942104814752516,3.4967985358038574,4.110669045301507,4.883646178829912,4.514377033434403
5,23.62,25.74,19.58,31.06,50.64,56.8,4.218483139707921,4.480223208725208,3.086033052318138,4.220947760870773,4.155767077207287,4.7539457296018846
6,21.84,28.1,18.02,32.04,50.06,60.14,3.8228784966305174,3.5791060336346563,3.987430250173663,4.894731861910313,4.406404429917889,4.673371374072469
7,19.48,29.88,17.28,33.36,50.64,63.24,3.7375928082122587,4.45259474913224,3.388450973527579,4.697914430893777,5.413908015472742,4.5058184606128995
8,18.7,31.0,17.04,33.26,50.3,64.26,4.491102314577124,5.192301994298868,3.583071308249391,4.8448322984392345,5.2697248505021586,5.218467207906935
9,18.12,32.36,15.34,34.18,49.52,66.54,3.755742270177761,5.516375621728455,3.444473835000057,4.116746288028933,5.231596314701661,5.193110821078248
10,17.52,34.72,14.76,33.0,47.76,67.72,3.634501341312175,4.543302763409016,3.9877813380374807,4.626013402488151,5.555393775422225,4.766717948442094
11,16.08,33.58,15.6,34.74,50.34,68.32,3.55437758264369,4.677991021795574,2.979932885150268,4.559868419154219,4.5765052168658125,4.0960468747317815
12,16.14,33.82,15.18,34.86,50.04,68.68,3.3227097375485566,4.836072786879867,3.5139151953341163,5.102979521808803,5.098862618270863,4.478571200729089
13,16.3,34.36,13.92,35.42,49.34,69.78,3.028200785945344,4.325551987897036,2.667133292507144,3.6060504710832877,3.8241861879359376,3.46
14,15.62,34.58,14.58,35.22,49.8,69.8,3.025822202311299,3.704537757939579,3.6556258014189584,3.966308107043627,3.97994974842648,4.68187996428785
15,15.06,34.34,15.32,35.28,50.6,69.62,3.662840427864692,5.446503465527218,3.0095846889562687,5.49559823859059,5.99666574022598,4.362980632549267
16,14.8,35.08,14.7,35.42,50.12,70.5,3.6932370625238775,4.790991546642512,3.5902646142032486,4.845988031351295,4.628779536767765,4.73392015141785
17,15.04,34.76,14.36,35.84,50.2,70.6,4.26595827452637,4.585019083929749,3.637361681218957,5.09650860884194,5.332916650389353,5.2
18,15.16,34.92,14.74,35.18,49.92,70.1,4.139371933035252,5.207072113961933,2.9786574156824415,4.1698441217868085,4.4128902093752576,4.964876634922564
19,14.7,33.56,15.58,36.16,51.74,69.72,3.189043743820395,4.5919930313535975,4.176553603151766,4.504930632096348,4.774138665769984,5.5786736774971875
20,15.06,35.12,14.34,35.48,49.82,70.6,4.071412531296724,5.84,4.174254424445161,4.920325192505064,5.49068301762176,5.44426303552648
21,14.46,34.08,15.0,36.46,51.46,70.54,3.453751583423452,5.027285549876793,3.5777087639996634,5.208493064217327,4.639870687853272,5.242938107588149
22,14.58,34.64,13.88,36.9,50.78,71.54,4.084556279450682,4.987023160162783,3.0960620148827767,5.40092584655631,5.281249852071004,4.657080630609696
23,13.92,35.9,13.88,36.3,50.18,72.2,3.8927625152325946,4.5661800227323495,3.664096068609555,4.788527957525152,4.563726547460967,4.7833042972405595
24,13.72,36.72,14.2,35.36,49.56,72.08,3.8783501646963234,5.107014783608914,3.0133038346638727,5.4836484205317175,5.611274365061826,4.524776237561367
25,13.44,37.04,14.18,35.34,49.52,72.38,3.3115555257310727,4.656006872847161,3.7560085196921476,5.305129593139077,5.072435312549585,4.625537806569091
26,13.62,36.2,13.82,36.36,50.18,72.56,3.83087457377555,5.118593556827891,3.380473339637513,4.462107125562989,5.294109934634905,3.8841215223007635
27,14.02,36.62,13.68,35.68,49.36,72.3,3.289316038327725,3.7570733290687843,3.337304301378584,4.012181451529828,3.6756496024512453,4.309292285283049
28,14.04,36.56,14.42,34.98,49.4,71.54,3.5211361802690906,4.67829028599124,3.589373204335264,4.40222670929156,5.385164807134504,4.133811800263771
29,13.84,35.68,14.0,36.48,50.48,72.16,3.3067204296704613,4.843304656946535,3.03315017762062,5.478101861046397,5.1855182961783095,4.342165358435812
